time,symbol,open,high,low,close,close_time,volume,unkown2,unkown3,unkown4,unkown5,unkown6
2023-02-26 19:15:00,BTCUSDT,1602.94,1604.82,1602.93,1604.82,0.217,1677438959999,348.153953,5,0.1682,269.930724,0
2023-02-26 19:16:00,BTCUSDT,1604.82,1604.82,1604.82,1604.82,0.0,1677439019999,0.0,0,0.0,0.0,0
2023-02-26 19:17:00,BTCUSDT,1604.82,1604.82,1604.82,1604.82,0.0,1677439079999,0.0,0,0.0,0.0,0
2023-02-26 19:18:00,BTCUSDT,1606.8,1606.92,1606.8,1606.92,0.2472,1677439139999,397.221576,2,0.2472,397.221576,0
2023-02-26 19:19:00,BTCUSDT,1607.69,1607.7,1607.69,1607.7,0.0308,1677439199999,49.516915,2,0.0308,49.516915,0
2023-02-26 19:20:00,BTCUSDT,1609.78,1610.0,1609.78,1610.0,1.7506,1677439259999,2818.460399,18,1.7506,2818.460399,0
2023-02-26 19:21:00,BTCUSDT,1609.12,1611.47,1609.12,1611.47,0.2082,1677439319999,335.332039,2,0.1333,214.808951,0
2023-02-26 19:22:00,BTCUSDT,1611.47,1611.47,1610.42,1610.42,0.334,1677439379999,538.216595,4,0.3203,516.153841,0
2023-02-26 19:23:00,BTCUSDT,1610.42,1610.42,1610.42,1610.42,0.0,1677439439999,0.0,0,0.0,0.0,0
2023-02-26 19:24:00,BTCUSDT,1610.42,1610.42,1610.42,1610.42,0.0,1677439499999,0.0,0,0.0,0.0,0
2023-02-26 19:25:00,BTCUSDT,1610.42,1610.42,1610.42,1610.42,0.0,1677439559999,0.0,0,0.0,0.0,0
2023-02-26 19:26:00,BTCUSDT,1610.42,1610.42,1610.42,1610.42,0.0,1677439619999,0.0,0,0.0,0.0,0
2023-02-26 19:27:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0395,1677439679999,63.62423,1,0.0395,63.62423,0
2023-02-26 19:28:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677439739999,0.0,0,0.0,0.0,0
2023-02-26 19:29:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677439799999,0.0,0,0.0,0.0,0
2023-02-26 19:30:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677439859999,0.0,0,0.0,0.0,0
2023-02-26 19:31:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677439919999,0.0,0,0.0,0.0,0
2023-02-26 19:32:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677439979999,0.0,0,0.0,0.0,0
2023-02-26 19:33:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677440039999,0.0,0,0.0,0.0,0
2023-02-26 19:34:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677440099999,0.0,0,0.0,0.0,0
2023-02-26 19:35:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677440159999,0.0,0,0.0,0.0,0
2023-02-26 19:36:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677440219999,0.0,0,0.0,0.0,0
2023-02-26 19:37:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677440279999,0.0,0,0.0,0.0,0
2023-02-26 19:38:00,BTCUSDT,1610.74,1610.74,1610.74,1610.74,0.0,1677440339999,0.0,0,0.0,0.0,0
2023-02-26 19:39:00,BTCUSDT,1606.67,1606.67,1606.67,1606.67,0.029,1677440399999,46.59343,1,0.0,0.0,0
2023-02-26 19:40:00,BTCUSDT,1606.67,1606.67,1606.67,1606.67,0.0,1677440459999,0.0,0,0.0,0.0,0
2023-02-26 19:41:00,BTCUSDT,1606.67,1606.67,1606.67,1606.67,0.0,1677440519999,0.0,0,0.0,0.0,0
2023-02-26 19:42:00,BTCUSDT,1609.37,1609.37,1609.37,1609.37,0.035,1677440579999,56.32795,1,0.035,56.32795,0
2023-02-26 19:43:00,BTCUSDT,1609.37,1609.37,1609.37,1609.37,0.0,1677440639999,0.0,0,0.0,0.0,0
2023-02-26 19:44:00,BTCUSDT,1609.37,1609.37,1609.37,1609.37,0.0,1677440699999,0.0,0,0.0,0.0,0
2023-02-26 19:45:00,BTCUSDT,1609.37,1609.37,1609.37,1609.37,0.0,1677440759999,0.0,0,0.0,0.0,0
2023-02-26 19:46:00,BTCUSDT,1607.95,1607.95,1607.95,1607.95,0.0311,1677440819999,50.007245,1,0.0,0.0,0
2023-02-26 19:47:00,BTCUSDT,1607.95,1607.95,1607.95,1607.95,0.0,1677440879999,0.0,0,0.0,0.0,0
2023-02-26 19:48:00,BTCUSDT,1609.69,1609.69,1609.69,1609.69,0.0219,1677440939999,35.252211,1,0.0219,35.252211,0
2023-02-26 19:49:00,BTCUSDT,1609.69,1609.69,1609.69,1609.69,0.0,1677440999999,0.0,0,0.0,0.0,0
2023-02-26 19:50:00,BTCUSDT,1609.69,1609.69,1609.69,1609.69,0.5,1677441059999,804.845,7,0.5,804.845,0
2023-02-26 19:51:00,BTCUSDT,1609.69,1609.69,1609.69,1609.69,0.0,1677441119999,0.0,0,0.0,0.0,0
2023-02-26 19:52:00,BTCUSDT,1609.69,1609.69,1609.69,1609.69,0.0,1677441179999,0.0,0,0.0,0.0,0
2023-02-26 19:53:00,BTCUSDT,1611.21,1611.46,1610.53,1610.53,0.1422,1677441239999,229.099687,5,0.1106,178.206075,0
2023-02-26 19:54:00,BTCUSDT,1610.53,1610.53,1610.53,1610.53,0.1105,1677441299999,177.963565,1,0.0,0.0,0
2023-02-26 19:55:00,BTCUSDT,1610.53,1610.53,1610.53,1610.53,0.0,1677441359999,0.0,0,0.0,0.0,0
2023-02-26 19:56:00,BTCUSDT,1610.79,1610.79,1610.61,1610.61,0.0541,1677441419999,87.137047,3,0.0,0.0,0
2023-02-26 19:57:00,BTCUSDT,1610.61,1610.61,1610.61,1610.61,0.0,1677441479999,0.0,0,0.0,0.0,0
2023-02-26 19:58:00,BTCUSDT,1610.61,1610.61,1610.61,1610.61,0.0,1677441539999,0.0,0,0.0,0.0,0
2023-02-26 19:59:00,BTCUSDT,1610.61,1610.61,1610.61,1610.61,0.0,1677441599999,0.0,0,0.0,0.0,0
2023-02-26 20:00:00,BTCUSDT,1610.61,1610.61,1610.61,1610.61,0.0,1677441659999,0.0,0,0.0,0.0,0
2023-02-26 20:01:00,BTCUSDT,1610.61,1610.61,1610.61,1610.61,0.0826,1677441719999,133.036386,1,0.0826,133.036386,0
2023-02-26 20:02:00,BTCUSDT,1610.61,1610.61,1610.61,1610.61,0.0016,1677441779999,2.576976,1,0.0016,2.576976,0
2023-02-26 20:03:00,BTCUSDT,1610.61,1610.61,1610.61,1610.61,0.0105,1677441839999,16.911405,1,0.0,0.0,0
2023-02-26 20:04:00,BTCUSDT,1609.41,1609.41,1609.41,1609.41,0.0121,1677441899999,19.473861,1,0.0,0.0,0
2023-02-26 20:05:00,BTCUSDT,1612.13,1612.14,1612.13,1612.14,0.0238,1677441959999,38.368811,2,0.0238,38.368811,0
2023-02-26 20:06:00,BTCUSDT,1612.14,1612.14,1612.14,1612.14,0.0,1677442019999,0.0,0,0.0,0.0,0
2023-02-26 20:07:00,BTCUSDT,1612.14,1612.14,1612.14,1612.14,0.0,1677442079999,0.0,0,0.0,0.0,0
2023-02-26 20:08:00,BTCUSDT,1612.14,1612.14,1612.14,1612.14,0.0,1677442139999,0.0,0,0.0,0.0,0
2023-02-26 20:09:00,BTCUSDT,1612.14,1612.14,1612.14,1612.14,0.0279,1677442199999,44.978706,1,0.0279,44.978706,0
2023-02-26 20:10:00,BTCUSDT,1612.14,1612.14,1611.79,1611.79,0.1688,1677442259999,272.125557,3,0.1583,255.201762,0
2023-02-26 20:11:00,BTCUSDT,1612.51,1612.51,1612.51,1612.51,0.3,1677442319999,483.753,1,0.3,483.753,0
2023-02-26 20:12:00,BTCUSDT,1612.51,1612.51,1612.51,1612.51,0.0,1677442379999,0.0,0,0.0,0.0,0
2023-02-26 20:13:00,BTCUSDT,1611.78,1612.51,1611.78,1612.51,0.6645,1677442439999,1071.082758,5,0.6011,968.849624,0
